Groupe;zone;n_rel;code_rel;versant;latitude;longitude;espece_arbre_dominante;rec_espece_dominante_arboree;rec_tot;AJUIVA;APHMON;ARBUNE;ARUITA;ASPACU;ASTsp;BELSYL;BISLAE;BITBIT;BOTISC;BRARET;BROERE;BUPRIG;CARHAL;CARHUM;CENPAN;CEPLEU;CIRARV;CIRMON;CISALB;CISMON;CLEFLA;CLEVIT;CLINEP;CONMAC;CORVAL;CREBUR;CRESAN;CREsp;CUPSEM;DACHIS;DORPEN;ECHVUL;ERICAN;EUPCHA;EUPCYP;EUPsp;FRAORN;FUMCAP;GALAPA;GERROB;GERROT;GLOBIS;HEDHEL;HIEGLA;HIEsp;HIMROB;JUNOXY;LACPER;LACVIR;LAUNOB;LINNAR;LINSP;LONIMP;LONJAP;NARASS;ONOMIN;ONONAT;PANMIL;PETSED;PHIANG;PHILAT;PICHIE;PILOFI;PINHAL;PIPMIL;PISLEN;PISTER;PLALAN;POTSAN;QUECOC;QUEILE;QUEPUB;REIPIC;RHAALA;ROSCAN;RUBPER;RUBSP;RUSACU;SALVER;SAMASP;SATMON;SCAMAR;SCOHIS;SEDACR;SHEARV;SILITA;SMIASP;SOLSP;SONOLE;SONTER;STAREC;TARsp;THYVUL;TORARV;TRIFSP;TEUCHA;TYRLEU;VIBTIN;VINHIR;VINNIG;VULBRO;ACAMOL;APIsp;STEMED;OSYALB;MUSNEG;SONsp;CIRsp;SPISPI;CARSYL;EUPHELI;MEDsp;MERANN;ALLsp;HELsp;CELAUS;SEDSED;ALOPRA;ARGZAN;VICPIS;VERsp;CELOCC;LIGSIN;PLOsp;GERPUR;ANTCER
A;10;3;A10_3;S;43,640405;3,870001;PINHAL;50;80;0;0;0;0;10;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;0;0;0;0;33;0;0;0;0;2;0;21;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;7;1;B7_1;S;43,641581;3,867243;PINHAL;40;49;0;0;0;0;1;0;0;0;0;0;2;0;0;10;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;40;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;7;2;B7_2;S;43,641961;3,867674;QUEILE;70;76;0;0;0;0;2;0;0;0;0;0;7;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;0;0;0;0;0;0;0;0;70;0;0;0;0;2;0;5;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;7;3;B7_3;S;43,640964;3,869128;PINHAL;15;99;1;0;0;0;1;0;0;0;0;0;90;0;0;0;0;0;0;0;0;1;0;5;0;0;0;3;0;1;0;0;0;1;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;8;1;A8_1;S;43,64038691;3,865286233;NA;0;55;0;0;0;0;0;7;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;10;0;10;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;2;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;8;2;A8_2;S;43,64030053;3,865509443;QUEILE;35;92;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;4;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;8;3;A8_3;S;43,64044567;3,865952259;QUEILE;5;57;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;10;1;B10_1;S;43,64035796;3,869987359;QUEILE;65;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;2;0;0;8;0;4;0;10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;10;2;B10_2;S;43,64054791;3,870215524;QUEILE;85;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;9;0;2;0;0;0;0;0;0;0;0;6;0;6;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;12;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;10;3;B10_3;S;43,640466;3,869734;PINHAL;80;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;15;0;0;0;0;0;5;0;0;0;0;0;0;5;0;9;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;4;1;A4_1;N;43,6422;3,87016;PINHAL;50;70;0;0;0;0;9;0;20;3;0;0;60;75;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;5;0;0;0;2;0;2;0;0;0;0;0;3;0;11;5;0;0;0;0;0;0;0;0;0;0;20;0;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A;4;2;A4_2;N;43,64207;3,8704;PINHAL;30;35;0;0;0;0;2;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;20;0;0;3;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
